"key","message","comment","context"
"Afghanistan","Afghanistan",,
"Albania","Albanie",,
"Algeria","Algérie",,
"Andorra","Andorre",,
"Angola","Angola",,
"Antigua and Barbuda","Antigua-et-Barbuda",,
"Argentina","Argentine",,
"Armenia","Arménie",,
"Aruba","Aruba",,
"Australia","Australie",,
"Austria","Autriche",,
"Azerbaijan","Azerbaïdjan",,
"Bahamas","Bahamas",,
"Bahrain","Bahreïn",,
"Bangladesh","Bangladesh",,
"Barbados","Barbade",,
"Belarus","Biélorussie",,
"Belgium","Belgique",,
"Belize","Belize",,
"Benin","Bénin",,
"Bhutan","Bhoutan",,
"Bolivia","Bolivie",,
"Bosnia and Herzegovina","Bosnie-Herzégovine",,
"Botswana","Botswana",,
"Brazil","Brésil",,
"British Indian Ocean Territory","Territoire britannique de l’océan Indien",,
"Brunei","Brunei",,
"Bulgaria","Bulgarie",,
"Burkina Faso","Burkina Faso",,
"Burundi","Burundi",,
"Cambodia","Cambodge",,
"Cameroon","Cameroun",,
"Canada","Canada",,
"Cape Verde","Cap-Vert",,
"Caribbean Netherlands","Pays-Bas caribéens",,
"Cayman Islands","Îles Caïmans",,
"Central African Republic","République centrafricaine",,
"Chad","Tchad",,
"Chile","Chili",,
"China","Chine",,
"Colombia","Colombie",,
"Comoros","Comores",,
"Congo","Congo",,
"Costa Rica","Costa Rica",,
"Côte d'Ivoire","Côte d'Ivoire",,
"Croatia","Croatie",,
"Cuba","Cuba",,
"Curaçao","Curaçao",,
"Cyprus","Chypre",,
"Czech Republic","Tchéquie",,
"Denmark","Danemark",,
"Djibouti","Djibouti",,
"Dominica","Dominique",,
"Dominican Republic","République dominicaine",,
"Ecuador","Équateur",,
"Egypt","Égypte",,
"El Salvador","Salvador",,
"Equatorial Guinea","Guinée équatoriale",,
"Eritrea","Érythrée",,
"Estonia","Estonie",,
"Ethiopia","Éthiopie",,
"Faroe Islands","Îles Féroé",,
"Fiji","Fidji",,
"Finland","Finlande",,
"France","France",,
"French Guiana","Guyane",,
"French Polynesia","Polynésie française",,
"Gabon","Gabon",,
"Gambia","Gambie",,
"Georgia","Géorgie",,
"Germany","Allemagne",,
"Ghana","Ghana",,
"Gibraltar","Gibraltar",,
"Greece","Grèce",,
"Greenland","Groenland",,
"Grenada","Grenade",,
"Guadeloupe","Guadeloupe",,
"Guam","Guam",,
"Guatemala","Guatemala",,
"Guinea-Bissau","Guinée-Bissau",,
"Guinea","Guinée",,
"Guyana","Guyana",,
"Haiti","Haïti",,
"Honduras","Honduras",,
"Hong Kong","Hong Kong",,
"Hungary","Hongrie",,
"Iceland","Islande",,
"India","Inde",,
"Indonesia","Indonésie",,
"Iran","Iran",,
"Iraq","Irak",,
"Ireland","Irlande",,
"Israel","Israël",,
"Italy","Italie",,
"Jamaica","Jamaïque",,
"Japan","Japon",,
"Jordan","Jordanie",,
"Kazakhstan","Kazakhstan",,
"Kenya","Kenya",,
"Kiribati","Kiribati",,
"Kosovo","Kosovo",,
"Kuwait","Koweït",,
"Kyrgyzstan","Kirghizistan",,
"Laos","Laos",,
"Latvia","Lettonie",,
"Lebanon","Liban",,
"Lesotho","Lesotho",,
"Liberia","Liberia",,
"Libya","Libye",,
"Liechtenstein","Liechtenstein",,
"Lithuania","Lituanie",,
"Luxembourg","Luxembourg",,
"Macau","Macao",,
"Macedonia","Macédoine du Nord",,
"Madagascar","Madagascar",,
"Malawi","Malawi",,
"Malaysia","Malaisie",,
"Maldives","Maldives",,
"Mali","Mali",,
"Malta","Malte",,
"Marshall Islands","Îles Marshall",,
"Martinique","Martinique",,
"Mauritania","Mauritanie",,
"Mauritius","Maurice",,
"Mayotte","Mayotte",,
"Mexico","Mexique",,
"Micronesia","Micronésie",,
"Moldova","Moldavie",,
"Monaco","Monaco",,
"Mongolia","Mongolie",,
"Montenegro","Monténégro",,
"Morocco","Maroc",,
"Mozambique","Mozambique",,
"Myanmar","Birmanie",,
"Namibia","Namibie",,
"Nauru","Nauru",,
"Nepal","Népal",,
"Netherlands","Pays-Bas",,
"New Caledonia","Nouvelle-Calédonie",,
"New Zealand","Nouvelle-Zélande",,
"Nicaragua","Nicaragua",,
"Niger","Niger",,
"Nigeria","Nigeria",,
"North Korea","Corée du Nord",,
"Norway","Norvège",,
"Oman","Oman",,
"Pakistan","Pakistan",,
"Palau","Palaos",,
"Palestine","Palestine",,
"Panama","Panama",,
"Papua New Guinea","Papouasie-Nouvelle-Guinée",,
"Paraguay","Paraguay",,
"Peru","Pérou",,
"Philippines","Philippines",,
"Poland","Pologne",,
"Portugal","Portugal",,
"Puerto Rico","Porto Rico",,
"Qatar","Qatar",,
"Réunion","Réunion",,
"Romania","Roumanie",,
"Russia","Russie",,
"Rwanda","Rwanda",,
"Saint Kitts and Nevis","Saint-Christophe-et-Niévès",,
"Saint Lucia","Sainte-Lucie",,
"Saint Pierre & Miquelon","Saint-Pierre-et-Miquelon",,
"Saint Vincent and the Grenadines","Saint-Vincent-et-les-Grenadines",,
"Samoa","Samoa",,
"San Marino","Saint-Marin",,
"São Tomé and Príncipe","Sao Tomé-et-Principe",,
"Saudi Arabia","Arabie saoudite",,
"Senegal","Sénégal",,
"Serbia","Serbie",,
"Seychelles","Seychelles",,
"Sierra Leone","Sierra Leone",,
"Singapore","Singapour",,
"Slovakia","Slovaquie",,
"Slovenia","Slovénie",,
"Solomon Islands","Îles Salomon",,
"Somalia","Somalie",,
"South Africa","Afrique du Sud",,
"South Korea","Corée du Sud",,
"South Sudan","Soudan du Sud",,
"Spain","Espagne",,
"Sri Lanka","Sri Lanka",,
"Sudan","Soudan",,
"Suriname","Suriname",,
"Swaziland","Swaziland",,
"Sweden","Suède",,
"Switzerland","Suisse",,
"Syria","Syrie",,
"Taiwan","Taïwan",,
"Tajikistan","Tadjikistan",,
"Tanzania","Tanzanie",,
"Thailand","Thaïlande",,
"Timor-Leste","Timor oriental",,
"Togo","Togo",,
"Tonga","Tonga",,
"Trinidad and Tobago","Trinité-et-Tobago",,
"Tunisia","Tunisie",,
"Turkey","Turquie",,
"Turkmenistan","Turkménistan",,
"Tuvalu","Tuvalu",,
"Uganda","Ouganda",,
"Ukraine","Ukraine",,
"United Arab Emirates","Émirats arabes unis",,
"United Kingdom","Royaume-Uni",,
"United States","États-Unis",,
"Uruguay","Uruguay",,
"Uzbekistan","Ouzbékistan",,
"Vanuatu","Vanuatu",,
"Vatican City","Vatican",,
"Venezuela","Venezuela",,
"Vietnam","Viêt Nam",,
"Wallis & Futuna","Wallis-et-Futuna",,
"Yemen","Yémen",,
"Zambia","Zambie",,
"Zimbabwe","Zimbabwe",,
